id,loss
131822,1124.11141984058
131823,1482.87284235159
131824,4500.293086258762
131825,1676.199158642175
131826,3408.4854177232096
131827,4316.237807273654
131828,727.1098984417868
131829,4169.935874349708
131830,3840.284925233719
131831,3369.193067685205
131832,2307.19948420515
131833,1248.668638715285
131834,1599.4958856859266
131835,916.7563459411567
131836,1433.495453270529
131837,5114.3506294467425
131838,2650.326294559628
131839,753.3605153728208
131840,2615.7592670144686
131841,2450.6668465070334
131842,7757.79210511446
131843,3139.5230354412824
131844,5823.752529206253
131845,3529.5928335892886
131846,10364.611328029534
131847,864.4570482141703
131848,5505.877025838275
131849,3530.7029082425997
131850,2707.4863020530706
131851,655.2398020733194
131852,721.7507420544725
131853,1228.8818082413798
131854,1207.2482196446913
131855,4803.483804791562
131856,2875.509347805155
131857,2010.4362930754282
131858,10217.348547823562
131859,928.1315878819696
131860,5495.357121967737
131861,1333.7513768551394
131862,2294.048508080078
131863,-158.80263934824325
131864,5051.873779019043
131865,2139.864270826221
131866,3671.431203743981
131867,1597.582631455344
131868,1425.3561511585956
131869,3150.804013722792
131870,2003.5316311685651
131871,6966.9642367060815
131872,1383.5360961832755
131873,3808.9579474108514
131874,2795.673060171905
131875,1431.2298685194617
131876,2748.4804585473535
131877,8155.228164041751
131878,3421.327238545722
131879,1976.0993891144917
131880,4398.49523183959
131881,1656.869501777743
131882,1258.0678100567238
131883,2576.379829774187
131884,948.6626218410406
131885,3008.6488029442817
131886,1789.8093725510403
131887,844.9194774687194
131888,5962.530529620868
131889,8295.76873598804
131890,-236.13557349153734
131891,2196.3348718755606
131892,2807.51820356348
131893,1134.605364897909
131894,4924.038765044513
131895,3887.018968039081
131896,5206.135264405943
131897,2283.090462409418
131898,1522.576226445292
131899,2252.7016805925805
131900,4134.779250912411
131901,4853.1976819990205
131902,2766.3170840277867
131903,4800.404994771991
131904,3361.9647044657254
131905,1326.9053993486673
131906,2483.9915503461693
131907,1828.8189343615943
131908,82.72485199175435
131909,2139.611064280906
131910,4901.056621537121
131911,3188.658465429502
131912,901.8061111998295
131913,1225.6236413331208
131914,2237.356304567909
131915,3414.523112223718
131916,4019.6725719569044
131917,1291.2292935444357
131918,4169.16830646186
131919,1659.4264729098968
131920,511.99967776211497
131921,5730.558590639994
131922,1555.1522409820311
131923,4623.149299560249
131924,1525.8497679533066
131925,3126.106816770798
131926,2366.187573291708
131927,2128.5262697801336
131928,3625.5553268400167
131929,11276.789665272423
131930,8610.200038940216
131931,4211.049983085422
131932,1582.6417897465801
131933,5459.47555310569
131934,433.7856042379558
131935,2069.8485332040273
131936,1939.361179401353
131937,3625.986878204567
131938,2568.240992234584
131939,1352.9669581096114
131940,2511.6513817541654
131941,2688.1555836769558
131942,4058.1852106325287
131943,1801.1427528361758
131944,1531.6999964999948
131945,987.6187862447418
131946,6759.0392882123
131947,8702.01675481892
131948,4619.790156121375
131949,8191.733243669301
131950,3754.941080459443
131951,4294.746229827772
131952,799.2493409096132
131953,1290.0300853908918
131954,3078.536786110508
131955,2754.377034096804
131956,1437.0235724019067
131957,650.8260664570594
131958,3533.1603098555106
131959,891.8826015624777
131960,8129.9982968387085
131961,4329.153167569896
131962,4220.86400577281
131963,4713.945245279596
131964,8396.987460436781
131965,2003.6654432375094
131966,1473.645228633813
131967,3738.565543892274
131968,3608.040755667311
131969,2331.541351277028
131970,5026.08816916556
131971,6799.897285630339
131972,1337.7057921812527
131973,367.05587374832794
131974,2257.5068937848405
131975,2119.9903483736343
131976,5593.862192981145
131977,1266.2298994403166
131978,2347.7071516301926
131979,3902.079803560879
131980,3101.8168276946058
131981,1856.8624577614437
131982,1659.6790119415791
131983,2165.8721826791298
131984,4273.11014383364
131985,2905.892664797568
131986,3824.2705628169524
131987,2215.955913014637
131988,1313.9966483061385
131989,1426.8406731404866
131990,784.5322199599327
131991,715.2052212909775
131992,3138.641533443955
131993,2528.23102439266
131994,696.0323171933464
131995,3045.1197385473824
131996,1411.2229950639708
131997,374.2266896997744
131998,1579.9201194590964
131999,3816.4884140600698
132000,1413.8522847016782
132001,5615.82436194278
132002,1661.664152211251
132003,3236.319894926691
132004,4469.208111094893
132005,4595.978735542341
132006,1885.6628263000096
132007,1809.1903584259358
132008,2283.7333200716375
132009,1020.0199090414994
132010,3426.67945075924
132011,3485.9344255429382
132012,1442.5517469446927
132013,2231.836178486107
132014,1479.6874238457413
132015,2652.0493788935355
132016,4722.093639821711
132017,872.0829353953936
132018,1386.1604055020125
132019,9725.539784991754
132020,5484.095587425068
132021,4531.931248607833
132022,1796.0208847484678
